Name,Stage,Address,Zip Code
Rock Solid Warrior,Cleaning,"6109 NC-55 #125 Fuquay-Varina, NC USA 27526",27526
The Climb (Bentonville),Cleaning,"16730 House & Hahl Rd, Cypress, TX 77433",77433
The Spot Bouldering Gym (Denver),Cleaning,"1235 Delaware St. Denver, CO USA",
The Spot Bouldering Gym (Golden),Cleaning,"1391 Brickyard Rd. Golden, CO USA",
The Spot Climbing Gym (Louisville),Cleaning,"1754 Dogwood St. Louisville, CO USA",
Dyno Rock,Incorrect Email,"608 E Front St, Arlington, TX 76011",76011
Central Rock (Hadley),Incorrect Email,"165 Russell Street Hadley, MA 01035",01035
Delaware Rock Gym Inc.,Incorrect Email,"520 Carson Dr, Bear, DE 19701",19701
VITAL Climbing Gym (West Harlem),Incorrect Email,"3225 Broadway New York, NY USA",
High Altitude Fitness (3 gyms),Incorrect Email,"880 Northwood Boulevard Incline Village, NV US",
Tennessee Bouldering Authority,Incorrect Email,"427 E Main St, Chattanooga, TN 37408",
Phoenix Rock Gym,Incorrect Email,"1353 E University Dr, Tempe, AZ 85281",
Bouldering Project (Boston),Incorrect Email,"12A Tyler St Somerville, MA USA",
Contact Climbing Gym,Incorrect Email,"2875 E 850 N St. St. George, UT US",
Summit Climbing (fort worth) See PLANO,Umbrella Gyms - Extra boxes,"2828 W Lancaster Ave. Fort Worth, TX US",
Triangle Rock Club (Richmond) Consolidated,Umbrella Gyms - Extra boxes,"4700 Thalbro St, Richmond, VA 23230",
Summit Climbing (Denton) See PLANO,Umbrella Gyms - Extra boxes,"220 W Oak St Denton, TX US",
Summit Climbing (Grapevine) See PLANO,Umbrella Gyms - Extra boxes,"1040 Mustang Dr Grapvine, TX US",
Summit Climbing (Norman) See OKC,Umbrella Gyms - Extra boxes,"2701 Washington Drive Norman, OK 73069",
Summit Climbing (Dallas) see PLANO,Umbrella Gyms - Extra boxes,"9201 Forest Ln, Dallas, TX 75243",
5.life (Climb Nittany) KEYSTONE,Umbrella Gyms - Extra boxes,"328 Discovery Dr. Boalsburg, PA 16827",
"RoKC Climbing, yoga and fitness gym DUPLICATE (3 locations)",Umbrella Gyms - Extra boxes,"1501 Howell Street
North Kansas City, MO 64116",
Inner Peaks (Matthews) KEYSTONE,Umbrella Gyms - Extra boxes,"10715 Independence Pointe Pkwy Matthews, NC USA 28105",
Brooklyn Boulders (Chicago West Loop),Umbrella Gyms - Extra boxes,"100 South Morgan St, Chicago, IL 60607",
Triangle Rock Club (added to all gyms box),Umbrella Gyms - Extra boxes,"102 Pheasant Wood Ct, Morrisville, NC 27560",
Climb So iLL at the Power Plant,Umbrella Gyms - Extra boxes,"1419 Carroll St, St. Louis, MO 63104",
Movement (Golden),Umbrella Gyms - Extra boxes,"700 Golden Ridge Rd Golden, CO USA",
Touchstone (Berkeley Ironworks),Umbrella Gyms - Extra boxes,"800 Potter Street Berkeley, CA US",
MetroRock (Bushwick),Umbrella Gyms - Extra boxes,"321 Starr St. Brooklyn, NY USA 11237",
